what,kind,bundleId,bundleVersion,description,time
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1363638743210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363638744732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363638747038
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1363638747091
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1363638748169
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363638802443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363638826503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363638984000
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363638989376
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363638998369
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363639008447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363639008884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363639012146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363639013696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363639034185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363639046386
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363639079959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363639113794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363639121671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363639123509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363639125905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363639127540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363639154669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363639156251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363639163278
